gpstime,rostime,distance,position_error,iou,heading_error,speed_error
1730117631.04,1730117612.9810882,6.906158925926567,,,,
1730117631.06,1730117613.0008235,6.9061023380546525,,,,
1730117631.08,1730117613.0210087,6.905974610584259,,,,
1730117631.1,1730117613.0415387,6.905924398586648,,,,
1730117631.12,1730117613.0609612,6.905824139531955,1.7771244809219542,0.23898402940926017,4.783151915795811,0.5854100649276507
1730117631.14,1730117613.0806754,6.905732606405508,,,,
1730117631.16,1730117613.1007392,6.90566784370588,,,,
1730117631.18,1730117613.120879,6.905551037615924,,,,
1730117631.2,1730117613.1419451,6.90552514506202,,,,
1730117631.22,1730117613.1611598,6.905436955884013,1.765509096139954,0.2397491147514465,6.2294964167672,0.6130801219169042
1730117631.24,1730117613.1809664,6.905538082193529,,,,
1730117631.26,1730117613.2010055,6.905727087972597,,,,
1730117631.28,1730117613.2210877,6.906010342242566,,,,
1730117631.3,1730117613.2414837,6.906447913222379,,,,
1730117631.32,1730117613.2610266,6.90698600908332,1.7973404043881198,0.2366845074192054,3.5678877071965918,0.4551912348714633
1730117631.34,1730117613.281128,6.90775663345455,,,,
1730117631.36,1730117613.3012168,6.908631768480831,,,,
1730117631.38,1730117613.3210626,6.910039124262365,,,,
1730117631.4,1730117613.3415663,6.91092523952826,,,,
1730117631.42,1730117613.360937,6.9123208349489955,1.7609330499910019,0.23732582190608573,5.5766239393925625,0.4804875588015341
1730117631.44,1730117613.3809505,6.913910142856833,,,,
1730117631.46,1730117613.4009721,6.915635687192354,,,,
1730117631.48,1730117613.42101,6.917558417100411,,,,
1730117631.5,1730117613.441756,6.919587381654679,,,,
1730117631.52,1730117613.461123,6.921850627540491,1.782144910482517,0.23494847586490047,5.731164417760997,0.4909528226781392
1730117631.54,1730117613.4809363,6.924209310154354,,,,
1730117631.56,1730117613.5009773,6.926787224541287,,,,
1730117631.58,1730117613.520976,6.929459165585682,,,,
1730117631.6,1730117613.5415688,6.9323010775542055,,,,
1730117631.62,1730117613.5609407,6.935303724262407,1.7530927053793286,0.23448899887089475,4.990227572524326,0.41714188139680963
1730117631.64,1730117613.5809016,6.938419699352961,,,,
1730117631.66,1730117613.6009452,6.941712190408783,,,,
1730117631.68,1730117613.62119,6.945103609593384,,,,
1730117631.7,1730117613.6416354,6.948714142108985,,,,
1730117631.72,1730117613.6609812,6.9523797062483705,1.69562349105926,0.2354550147101234,4.355672231474957,0.43020262816335786
1730117631.74,1730117613.6811583,6.95625611841413,,,,
1730117631.76,1730117613.7011743,6.960234756200075,,,,
1730117631.78,1730117613.7211096,6.964387704875652,,,,
1730117631.8,1730117613.7414353,6.968684468896407,,,,
1730117631.82,1730117613.7610278,6.973078817879917,1.6920759852427132,0.23606379995604113,175.963685100614,0.33391221933576837
1730117631.84,1730117613.7811193,6.977716087451322,,,,
1730117631.86,1730117613.8009498,6.9823613916408265,,,,
1730117631.88,1730117613.8208184,6.9885063350838355,,,,
1730117631.9,1730117613.841451,6.9922338531862955,,,,
1730117631.92,1730117613.8607857,6.997405408950264,1.732260061547135,0.23244551614719808,1.9033422132304572,0.35893619634971047
1730117631.94,1730117613.8807287,7.002687616447719,,,,
1730117631.96,1730117613.9009821,7.008173491649935,,,,
1730117631.98,1730117613.9207861,7.0137346186325695,,,,
1730117632.0,1730117613.9434142,7.019513960776757,,,,
1730117632.02,1730117613.9608703,7.025362600005833,1.7238818421211315,0.22930786248827084,177.607923960698,0.34301573278750636
1730117632.04,1730117613.9809835,7.031487045939675,,,,
1730117632.06,1730117614.0009987,7.0375614744777035,,,,
1730117632.08,1730117614.0209043,7.043844866804726,,,,
1730117632.1,1730117614.041416,7.050236842770692,,,,
1730117632.12,1730117614.0609617,7.056863150872597,1.6620574707370497,0.2382690454131448,177.40812941714873,0.2371296935393341
1730117632.14,1730117614.0808418,7.06361010310963,,,,
1730117632.16,1730117614.1008172,7.070579480001509,,,,
1730117632.18,1730117614.120812,7.077682969962368,,,,
1730117632.2,1730117614.1415088,7.085038222726787,,,,
