rostime,gpstime,world_x,world_y,azimuth,vx,vy
1730984851.9250863,1730984869.925,41.04236379860012,58.986360713201094,49.43169418959599,11.691351976285972,0.008348613128241311
1730984851.9290795,1730984869.93,41.08051254169547,59.030707796197426,49.43241049017547,11.689115713788574,0.01369656102518313
1730984851.9350646,1730984869.935,41.118556641507745,59.07507658284846,49.43351152427874,11.689075603917917,0.014774266243642309
1730984851.939124,1730984869.94,41.156689142561426,59.11947187681454,49.43520970315262,11.686694468888781,0.015541142414672748
1730984851.9451973,1730984869.945,41.194725894421836,59.16382889304253,49.43646952717364,11.686004989831655,0.016526210745248626
1730984851.9493892,1730984869.95,41.23280816141112,59.20822787170215,49.437808298600544,11.688862703959218,0.011726275981266632
1730984851.9549909,1730984869.955,41.270929989026115,59.25264570540965,49.43932606362716,11.691952399598371,0.010467934495357767
1730984851.9593115,1730984869.96,41.30895925428318,59.29704929171996,49.440665819484536,11.692979017764554,0.009771364489678191
1730984851.9650507,1730984869.965,41.34710883063048,59.34139557543664,49.44236498292298,11.691710516561841,0.017308874115672168
1730984851.9690034,1730984869.97,41.3852508859181,59.385792389843296,49.44350741609048,11.690120542929774,0.01681213648860247
1730984851.974987,1730984869.975,41.423295802636254,59.430166234882776,49.444841173342525,11.689915178591953,0.01764896678375294
1730984851.9791846,1730984869.98,41.46139448413366,59.474597396219714,49.44601712047256,11.69015371800079,0.011048959762238297
1730984851.9850545,1730984869.985,41.49951631432501,59.51902040210831,49.44724602880444,11.693151380584485,0.009336615803294812
1730984851.98938,1730984869.99,41.53753852625436,59.56343711427677,49.44850595286698,11.694075022725471,0.0079480563063008
1730984851.995116,1730984869.995,41.575658444142846,59.607840063416766,49.449652972926856,11.694597578302972,0.009393309003286276
1730984852.001254,1730984870.0,41.61368564466478,59.652261476634905,49.45087413201486,11.695399240819562,0.008823000985389129
1730984852.0055852,1730984870.005,41.65178467210603,59.69664877113814,49.453332066391454,11.693726971477748,0.013406418432191813
1730984852.0140083,1730984870.01,41.689816804115196,59.74105806404368,49.454870917238,11.693878379269377,0.014174405193966955
1730984852.0148268,1730984870.015,41.7279385372313,59.7855333574726,49.45610579022866,11.695961004824508,0.010281636619005496
1730984852.0190566,1730984870.02,41.7660253423522,59.82997125650823,49.45710706932539,11.695813208767728,0.006210189111269138
1730984852.0242167,1730984870.025,41.8040338423185,59.87441508185799,49.45844608449812,11.69620512699705,0.004838601020509259
1730984852.0305254,1730984870.03,41.84215346113239,59.918844877711734,49.46043739041784,11.697361631579088,0.008917248279789014
1730984852.0339723,1730984870.035,41.88026951401299,59.96327489173126,49.461098480845294,11.697872064293065,0.008333070383306662
1730984852.0390081,1730984870.04,41.91834139475246,60.0077308335041,49.46234534319626,11.698424563132695,0.00813710949373192
1730984852.0443034,1730984870.045,41.95647347399699,60.05218590332702,49.46328327508911,11.695152909860981,0.008344646684972368
1730984852.049218,1730984870.05,41.994578062721814,60.096619482494916,49.46487132492342,11.69696027376241,0.009925408897423438
1730984852.0550606,1730984870.055,42.032618612872916,60.141061198347444,49.466172516521965,11.697200737306375,0.010344951790123957
1730984852.0591068,1730984870.06,42.07078308501624,60.18563003262739,49.46724716695866,11.70349298138524,0.005172905448478815
1730984852.06467,1730984870.065,42.108825703249494,60.23011820463549,49.46848794546287,11.705393342372803,0.004049217270448047
1730984852.069481,1730984870.07,42.147008733938755,60.274654105782986,49.46907134570915,11.708201434744307,0.0038765172812835758
1730984852.0750172,1730984870.075,42.185155583622034,60.31911658593937,49.46883580690542,11.705867172786633,0.004117835144077375
1730984852.078941,1730984870.08,42.2232098691341,60.36360631008205,49.46953446268469,11.706682833672147,0.003552234535547427
1730984852.0851731,1730984870.085,42.261316977691166,60.408099463036294,49.47027581334794,11.70313792657149,0.0016316733563259689
1730984852.0889072,1730984870.09,42.299441428592516,60.45258952616508,49.47224396660255,11.705657816652836,0.006339600767769404
1730984852.0949707,1730984870.095,42.33749514756856,60.497077314742754,49.47334713404439,11.706203830036088,0.007154223973962814
1730984852.099538,1730984870.1,42.3756413470767,60.54161896280937,49.47412694776642,11.710711613860271,0.004474742149183086
1730984852.104958,1730984870.105,42.41370431681916,60.58613538212532,49.47514316346599,11.712342251790334,0.004323493819651247
1730984852.1093814,1730984870.11,42.451829573711365,60.63069228802413,49.4758354754876,11.710572761454404,7.261230406641062e-05
1730984852.1151593,1730984870.115,42.48998032165885,60.67517777485561,49.47644064677962,11.706908612319921,0.004372211181618013
1730984852.1194017,1730984870.12,42.52802934875756,60.71967371588143,49.47728356474079,11.706388417253983,0.004790376516798034
1730984852.1251874,1730984870.125,42.566192992469276,60.764193936980845,49.478375107491445,11.708015252801815,0.007410926747612123
1730984852.1292098,1730984870.13,42.60425634352617,60.80868679934866,49.47928514611124,11.708049315177348,0.008400053091706994
1730984852.135171,1730984870.135,42.64240368721358,60.85332499966209,49.48113656919213,11.715560334745383,0.0032334883812819015
1730984852.1392841,1730984870.14,42.68053988254095,60.89790364584918,49.48132163075036,11.717026842846458,-0.00250777999114149
1730984852.145229,1730984870.145,42.718589902369445,60.94247197102832,49.48219616584191,11.718725513389924,-0.00443186151416608
1730984852.1494315,1730984870.15,42.75672847884672,60.98697707131332,49.483691920742444,11.715460770426969,0.001559170734811488
1730984852.155025,1730984870.155,42.79488412495753,61.03153036691708,49.48480346961412,11.715162472771858,0.0036617830201493007
1730984852.15907,1730984870.16,42.83294768519532,61.076069917238186,49.485859740684816,11.715396474368092,0.004295033396242154
