rostime,gpstime,world_x,world_y,azimuth,vx,vy
1730117612.0061054,1730117630.0,165.13364270134963,211.02293496547907,48.768305048564294,0.00691164663364085,0.0014748096977652433
1730117612.0104048,1730117630.005,165.13367130259638,211.02295547401093,48.76825507905306,0.006940115086786529,0.0016871877369660556
1730117612.016915,1730117630.01,165.13367935350448,211.0229653711809,48.768423328393936,0.006129469624385238,0.0007441506113980778
1730117612.0192618,1730117630.015,165.13370201326657,211.0229856355806,48.76842625334208,0.006011571426771688,0.0007124388402868637
1730117612.0258,1730117630.02,165.13369287441748,211.02300010806363,48.768580963978174,0.005150694462831396,-0.0008956584050592163
1730117612.0306811,1730117630.025,165.13358660057287,211.0229289978754,48.76846265214269,0.005276431972165025,-0.0014254605274638158
1730117612.0338488,1730117630.03,165.13358227442217,211.02293609524497,48.76844587105,0.005384654720802675,-0.0015623306854809056
1730117612.0390632,1730117630.035,165.13358776780524,211.0229312056535,48.76846708558693,0.006250164927522988,-0.0005621939928800814
1730117612.0440845,1730117630.04,165.1335906650342,211.02293912004706,48.76845410818078,0.006483000987147743,-0.00046905060343257294
1730117612.0488753,1730117630.045,165.13361711131438,211.02293549773245,48.76847981688685,0.007511005718276854,0.0008718135325447279
1730117612.0538638,1730117630.05,165.13363185171812,211.02292653353805,48.76809732832178,0.007657560620955518,0.001424921132174026
1730117612.0602005,1730117630.055,165.13364691449024,211.02293326747858,48.76797934347178,0.007771745851236561,0.0015123999631158182
1730117612.0639102,1730117630.06,165.13362811166968,211.02292410069813,48.76806240881393,0.0061904553526708535,0.0002171565222022641
1730117612.0698621,1730117630.065,165.1336021054301,211.02292126314086,48.76844423470453,0.005249825037472148,-0.001360012928672005
1730117612.073858,1730117630.07,165.13359783022494,211.02292847408398,48.76849549040034,0.005069337402965644,-0.0016491956360126017
1730117612.0797658,1730117630.075,165.13358472151856,211.022923503443,48.768619894632494,0.005386390973517875,-0.0015164234994976134
1730117612.0839405,1730117630.08,165.1335813139231,211.02293207677673,48.76868408882209,0.005492280378016983,-0.0015923619909571235
1730117612.0898418,1730117630.085,165.13360472072634,211.022932593078,48.76864545675693,0.0069755666663080355,-2.429559789606699e-05
1730117612.0938966,1730117630.09,165.13363102715596,211.02293495476584,48.76850516557324,0.008190913042699963,0.0009668689762474987
1730117612.100142,1730117630.095,165.13364701113574,211.02294593435687,48.768485383753905,0.008368988293254505,0.0011207444657702135
1730117612.1047888,1730117630.1,165.13364560995927,211.02293315774125,48.768279142862745,0.007173485095468732,0.0009163326341251215
